locality_id,suburb_name,locality_class,state,lat,lon
loc488293f7746c,Bolinda,Gazetted Locality,VIC,-37.438338,144.779558
loc05777dd8ea68,Bolton,Gazetted Locality,VIC,-34.959754,142.937539
loc2c89f2c72b52,Bolwarra,Gazetted Locality,VIC,-38.280574,141.603715
loca767c07ce8b6,Bolwarrah,Gazetted Locality,VIC,-37.509503,144.107991
loc5a5cdc0d3a63,Bona Vista,Gazetted Locality,VIC,-38.206719,145.969225
loc5899edefdaff,Bonang,Gazetted Locality,VIC,-37.148893,148.64785
locc70453923b8e,Bonbeach,Gazetted Locality,VIC,-38.062998,145.127938
locaedc1a0bcb5a,Bonegilla,Gazetted Locality,VIC,-36.144418,146.985556
loced6917ed9b9b,Boneo,Gazetted Locality,VIC,-38.408331,144.901819
loc46f79f2dbf45,Bonn,Gazetted Locality,VIC,-36.413066,144.718296
loccaf1b7ac7ed3,Bonnie Brook,Gazetted Locality,VIC,-37.700239,144.677095
loc4dcb7972b14a,Bonnie Doon,Gazetted Locality,VIC,-37.013997,145.864775
locb2505e62d563,Bonshaw,Gazetted Locality,VIC,-37.603773,143.81349
locd3986508c3f1,Bookaar,Gazetted Locality,VIC,-38.110734,143.080816
locd7929741c9ff,Boola,Gazetted Locality,VIC,-38.051943,146.466802
loc2cdd54fb79b9,Boolarong,Gazetted Locality,VIC,-38.565654,146.258962
loc961e71bc6343,Boolarra,Gazetted Locality,VIC,-38.382282,146.277389
locf7795df093e6,Boolarra South,Gazetted Locality,VIC,-38.462552,146.306786
loc40fbd30880ae,Boole Poole,Gazetted Locality,VIC,-37.923353,147.820676
locd1298bdee5ff,Boolite,Gazetted Locality,VIC,-36.340983,142.681683
loc7c9eb51c7250,Boomahnoomoonah,Gazetted Locality,VIC,-36.123892,146.099174
locb8362b45aa02,Boonah,Gazetted Locality,VIC,-38.427583,143.983782
loc2f38eaefd410,Boorcan,Gazetted Locality,VIC,-38.22207,143.028662
loce7aa43e88406,Boorhaman,Gazetted Locality,VIC,-36.229331,146.321414
locb07c29f18cea,Boorhaman East,Gazetted Locality,VIC,-36.164437,146.334754
loc3dac62971ad3,Boorhaman North,Gazetted Locality,VIC,-36.102938,146.250374
locd7ad53b0d1eb,Boorolite,Gazetted Locality,VIC,-37.15964,146.20494
locea070fc7b4b7,Boorool,Gazetted Locality,VIC,-38.451538,146.055705
