LOC_PID,LOC_NAME,LOC_CLASS,STATE,lat,lon
loc6bc38c38afda,Bennison,Gazetted Locality,VIC,-38.66615996143552,146.26916559578763
locd8470b65d64b,Bentleigh,Gazetted Locality,VIC,-37.922780929204635,145.03781078654197
loc89cee4954cc2,Bentleigh East,Gazetted Locality,VIC,-37.9222265381071,145.06691214409426
loc52b530498621,Benwerrin,Gazetted Locality,VIC,-38.49134167408073,143.89568560558257
loc14619c0ba705,Beremboke,Gazetted Locality,VIC,-37.78793752419968,144.2179766663994
loc539ea6329e6a,Berrimal,Gazetted Locality,VIC,-36.49819022856675,143.47564671680905
loc4a7ec2b4b43b,Berringa,Gazetted Locality,VIC,-37.7713994991809,143.6689919839376
loc186e8c505de6,Berringama,Gazetted Locality,VIC,-36.198211560530595,147.65182356421343
locf3b20d55e2bc,Berriwillock,Gazetted Locality,VIC,-35.64436272254395,142.96111207528622
loc8d2c2c331dbf,Berrybank,Gazetted Locality,VIC,-37.96920187902911,143.50177679231157
locb36d276aac72,Berrys Creek,Gazetted Locality,VIC,-38.41276006905347,146.06790778205317
loc4df40037d8c0,Berwick,Gazetted Locality,VIC,-38.04206358517813,145.3442982944178
locc2c8c551a607,Bessiebelle,Gazetted Locality,VIC,-38.149336280645535,141.9312939443052
loca31144ad1f65,Bet Bet,Gazetted Locality,VIC,-36.923697981855106,143.74972523330948
locff3488ad6e7a,Bete Bolong,Gazetted Locality,VIC,-37.68833700463151,148.2972362785725
loc62bcc8f53e0e,Bete Bolong North,Gazetted Locality,VIC,-37.59561134027006,148.29390254531495
locdd89ace20c8e,Bethanga,Gazetted Locality,VIC,-36.151957948250754,147.11625284947306
loc4c3379732a06,Betley,Gazetted Locality,VIC,-36.917725735263375,143.79442587756193
loc755170fc7fc4,Beulah,Gazetted Locality,VIC,-35.921568050178806,142.42005757149246
locecb296d87bd2,Beverford,Gazetted Locality,VIC,-35.22157501360948,143.4794635289032
loc4161e46afd2f,Beveridge,Gazetted Locality,VIC,-37.475602376879166,144.9742439587372
loc02aee4626a98,Big Desert,Gazetted Locality,VIC,-35.64170889421653,141.48012837270466
loceea9a0018be6,Big Hill,Gazetted Locality,VIC,-36.83648597347596,144.23221671280632
locfa8eb1577adf,Big Hill,Gazetted Locality,VIC,-38.4794584806191,144.00920983882366
locb682b64a0bfb,Big Pats Creek,Gazetted Locality,VIC,-37.76759640037346,145.7600227978424
loca01824678e86,Biggara,Gazetted Locality,VIC,-36.34207328342313,148.0123037063699
locbd756139d2b9,Billabong,Gazetted Locality,VIC,-37.25151608261133,146.8169834859968
loc4a5fcd265b2b,Bimbourie,Gazetted Locality,VIC,-35.33542562280884,142.76251308737992
locdc5327a32b66,Bindi,Gazetted Locality,VIC,-37.10962202688398,147.8450540891946
locf30e0cf1b9e1,Binginwarri,Gazetted Locality,VIC,-38.594239618258385,146.44810094178274
loc799b31df8dcd,Bingo Munjie,Gazetted Locality,VIC,-37.007756328951174,147.56295801664174
locc04e3faec15a,Birchip,Gazetted Locality,VIC,-35.99862619033563,142.92451560507237
loc02d3c319cfb8,Birchip West,Gazetted Locality,VIC,-36.01592818889648,142.81564957245314
loc325c0b30e951,Birdwoodton,Gazetted Locality,VIC,-34.19968925361559,142.06861753942206
loc01699d7adbaa,Birregurra,Gazetted Locality,VIC,-38.3429202853574,143.82350660771596
loca04892bcffe9,Bittern,Gazetted Locality,VIC,-38.33831705323061,145.17483739271415
loc29baf1548f7a,Black Hill,Gazetted Locality,VIC,-37.54985532929093,143.87325660546895
locab2619c6639f,Black Range,Gazetted Locality,VIC,-37.13277306586724,142.76585318682572
locad899e5d272f,Black Rock,Gazetted Locality,VIC,-37.97347624983128,145.0243465310807
loc10fc59c40668,Blackburn,Gazetted Locality,VIC,-37.82148168827085,145.15100940056948
loc786911d8fa57,Blackburn North,Gazetted Locality,VIC,-37.804701601532884,145.15532194653815
loc693599a76582,Blackburn South,Gazetted Locality,VIC,-37.839684467210304,145.14700491845645
loc4c8a477b2232,Blackheath,Gazetted Locality,VIC,-36.48135415096074,142.28620156547265
loc8309ee2d6d31,Blackwarry,Gazetted Locality,VIC,-38.41308895274936,146.61700860682015
loca1adbd73e198,Blackwood,Gazetted Locality,VIC,-37.48881556316063,144.28690764074418
loc7f158a48110c,Blairgowrie,Gazetted Locality,VIC,-38.37064804503452,144.7735560834931
loc0e644525b036,Blakeville,Gazetted Locality,VIC,-37.47758225568194,144.2080970927158
loc8db5d9e879c9,Blampied,Gazetted Locality,VIC,-37.352087549024205,144.02190966566405
loc8c47868d94a0,Blind Bight,Gazetted Locality,VIC,-38.21449621100321,145.33464277246813
locb22346216815,Blowhard,Gazetted Locality,VIC,-37.42900433653345,143.7877513813399
locd822612ba174,Bo Peep,Gazetted Locality,VIC,-37.54555426931185,143.66613694453352
loc81b0633f239e,Bobinawarrah,Gazetted Locality,VIC,-36.53608645234732,146.489471116709
loc25349ac08f9b,Bochara,Gazetted Locality,VIC,-37.69032975762096,141.9008185208255
loc58fa3791b4e9,Bogong,Gazetted Locality,VIC,-36.796948191142576,147.22154850134007
locc7e7e73ee8e7,Boho,Gazetted Locality,VIC,-36.66862987348811,145.79587919449662
loc1680fce821e6,Boho South,Gazetted Locality,VIC,-36.77277444144055,145.8271261317471
loc3be37dd4e9f1,Boigbeat,Gazetted Locality,VIC,-35.56149104360627,142.95722651128466
loccdd24cb9215b,Boinka,Gazetted Locality,VIC,-35.15751540548385,141.5886951030036
loca861f6ca2ab3,Boisdale,Gazetted Locality,VIC,-37.85637511052473,146.9654495068028
loc6eda168c3798,Bolangum,Gazetted Locality,VIC,-36.71537965832735,142.99808173919266
loc488293f7746c,Bolinda,Gazetted Locality,VIC,-37.43833807513519,144.77955760834016
loc05777dd8ea68,Bolton,Gazetted Locality,VIC,-34.95975417935998,142.9375392736813
loc2c89f2c72b52,Bolwarra,Gazetted Locality,VIC,-38.28057394399656,141.60371534925287
loca767c07ce8b6,Bolwarrah,Gazetted Locality,VIC,-37.50950252242956,144.10799064560052
loc5a5cdc0d3a63,Bona Vista,Gazetted Locality,VIC,-38.20671854793767,145.9692250335937
